qid,P31,P31_a,Lpt-br,Dpt-br,Den,P571,qal1319,qal1326,P17,P1259,qal2044,qal7787,qal8208,P170,P186,P195,P217,P2079,P4036,P2049,P2048,P7835
,Q125191,,"Praça Mauá, ao fundo, o Morro da Conceição",Fotografia de Augusto Malta,Photograph by Augusto Malta,+1920-01-01T00:00:00Z/8|P580|+1915-01-01T00:00:00Z/9|P582|+1925-01-01T00:00:00Z/9,,,Q155,@-22.89538/-43.18136|P2044|20.90274U11573|P7787|-175.70336U28390|P8208|77.99407U28390,,,,Q16495239,Q56055236,Q71989864,002051AM002004,Q172984,52.71U28390,229U174789,170U174789,82627
,Q125191,,"Bairro do Flamengo tomado a partir da Glória; ao fundo, o Morro do Pão de Açúcar",Fotografia de Augusto Malta,Photograph by Augusto Malta,+1920-01-01T00:00:00Z/8|P580|+1915-01-01T00:00:00Z/9|P582|+1925-01-01T00:00:00Z/9,,,Q155,@-22.92297/-43.1729|P2044|49.3967U11573|P7787|172.56957U28390|P8208|81.67716U28390,,,,Q16495239,Q56055236,Q71989864,002051AM002005,Q172984,59.25U28390,227U174789,170U174789,88658
,Q125191,,"Palace Hotel, conhecido como Hotel Guinle",Fotografia de Augusto Malta,Photograph by Augusto Malta,+1921-01-01T00:00:00Z/8|P580|+1920-01-01T00:00:00Z/9|P582|+1922-01-01T00:00:00Z/9,,,Q155,@-22.90837/-43.17659|P2044|26.16906U11573|P7787|4.49788U28390|P8208|89.2U28390,,,,Q16495239,Q56055236,Q71989864,002051AM002006,Q172984,50.0U28390,227U174789,170U174789,82629
,Q125191,,Hotel Central,Fotografia de Augusto Malta,Photograph by Augusto Malta,+1920-01-01T00:00:00Z/8|P580|+1915-01-01T00:00:00Z/9|P582|+1925-01-01T00:00:00Z/9,,,Q155,@-22.93335/-43.17435|P2044|15.72193U11573|P7787|-51.10962U28390|P8208|96.98075U28390,,,,Q16495239,Q56055236,Q71989864,002051AM002007,Q172984,44.34U28390,170U174789,229U174789,88659
,Q125191,,Pavilhão Mourisco da Fundação Oswaldo Cruz (FIOCRUZ),Fotografia de Augusto Malta,Photograph by Augusto Malta,+1920-01-01T00:00:00Z/8|P580|+1915-01-01T00:00:00Z/9|P582|+1925-01-01T00:00:00Z/9,,,Q155,@-22.87483/-43.2447|P2044|38.68822U11573|P7787|-99.25192U28390|P8208|97.91638U28390,,,,Q16495239,Q56055236,Q71989864,002051AM002008,Q172984,40.68U28390,169U174789,228U174789,82631
,Q125191,,Residência da família Barreira Vianna,Fotografia de José Baptista Barreira Vianna (002054VIAN001),Photograph by José Baptista Barreira Vianna (002054VIAN001),+1903-01-01T00:00:00Z/8|P580|+1900-01-01T00:00:00Z/9|P582|+1903-01-01T00:00:00Z/9,,,Q155,@-22.98743/-43.19391|P2044|14.58655U11573|P7787|-155.72625U28390|P8208|89.5378U28390,,,,Q63166517,Q56055236,Q71989864,002054VIAN001,Q172984,50.0U28390,169U174789,107U174789,82665
,Q125191,,Praia de Ipanema; ao fundo; a pedra do Arpoador,Fotografia de José Baptista Barreira Vianna,Photograph by José Baptista Barreira Vianna,+1903-01-01T00:00:00Z/8|P580|+1900-01-01T00:00:00Z/9|P582|+1903-01-01T00:00:00Z/9,,,Q155,@-22.98815/-43.19394|P2044|9.40774U11573|P7787|121.41818U28390|P8208|96.66274U28390,,,,Q63166517,Q56055236,Q71989864,002054VIAN003,Q172984,50.0U28390,166U174789,121U174789,82664
,Q125191,,Residência da família Barreira Vianna,Fotografia de José Baptista Barreira Vianna (002054VIAN005),Photograph by José Baptista Barreira Vianna (002054VIAN005),+1903-01-01T00:00:00Z/8|P580|+1900-01-01T00:00:00Z/9|P582|+1903-01-01T00:00:00Z/9,,,Q155,@-22.98769/-43.19444|P2044|11.1551U11573|P7787|-20.61878U28390|P8208|93.22451U28390,,,,Q63166517,Q56055236,Q71989864,002054VIAN005,Q172984,50.0U28390,170U174789,120U174789,82667
,Q125191,,"Residência da família Barreira Vianna; ao fundo, parte das Ilhas Cagarras",Fotografia de José Baptista Barreira Vianna,Photograph by José Baptista Barreira Vianna,+1903-01-01T00:00:00Z/8|P580|+1900-01-01T00:00:00Z/9|P582|+1903-01-01T00:00:00Z/9,,,Q155,@-22.98748/-43.19442|P2044|19.31297U11573|P7787|157.5151U28390|P8208|69.21038U28390,,,,Q63166517,Q56055236,Q71989864,002054VIAN006,Q172984,50.0U28390,130U174789,122U174789,82668
,Q125191,,"Residência da família Barreira Vianna; ao fundo, a Pedra do Arpoador e as Ilhas Cagarras",Fotografia de José Baptista Barreira Vianna,Photograph by José Baptista Barreira Vianna,+1903-01-01T00:00:00Z/8|P580|+1900-01-01T00:00:00Z/9|P582|+1903-01-01T00:00:00Z/9,,,Q155,@-22.98614/-43.19506|P2044|13.87552U11573|P7787|160.91455U28390|P8208|84.83476U28390,,,,Q63166517,Q56055236,Q71989864,002054VIAN007,Q172984,40.01U28390,162U174789,80U174789,82666
,Q125191,,"Residência da família Barreira Vianna; ao fundo, a Pedra do Arpoador",Fotografia de José Baptista Barreira Vianna (002054VIAN008),Photograph by José Baptista Barreira Vianna (002054VIAN008),+1903-01-01T00:00:00Z/8|P580|+1900-01-01T00:00:00Z/9|P582|+1903-01-01T00:00:00Z/9,,,Q155,@-22.98737/-43.19467|P2044|13.02606U11573|P7787|133.25154U28390|P8208|84.14347U28390,,,,Q63166517,Q56055236,Q71989864,002054VIAN008,Q172984,50.0U28390,123U174789,155U174789,82669
,Q125191,,"Residência da família Barreira Vianna; ao fundo, a Pedra do Arpoador",Fotografia de José Baptista Barreira Vianna (002054VIAN009),Photograph by José Baptista Barreira Vianna (002054VIAN009),+1903-01-01T00:00:00Z/8|P580|+1900-01-01T00:00:00Z/9|P582|+1903-01-01T00:00:00Z/9,,,Q155,@-22.98704/-43.19505|P2044|13.09031U11573|P7787|116.83805U28390|P8208|87.30718U28390,,,,Q63166517,Q56055236,Q71989864,002054VIAN009,Q172984,50.0U28390,177U174789,126U174789,82671
,Q125191,,"Residência da família Barreira Vianna; ao fundo, a Pedra do Arpoador",Fotografia de José Baptista Barreira Vianna (002054VIAN010),Photograph by José Baptista Barreira Vianna (002054VIAN010),+1903-01-01T00:00:00Z/8|P580|+1900-01-01T00:00:00Z/9|P582|+1903-01-01T00:00:00Z/9,,,Q155,@-22.98744/-43.19484|P2044|12.55444U11573|P7787|136.50142U28390|P8208|86.3456U28390,,,,Q63166517,Q56055236,Q71989864,002054VIAN010,Q172984,50.0U28390,161U174789,107U174789,82670
,Q125191,,"Residência da família Barreira Vianna; ao fundo, a Pedra do Arpoador",Fotografia de José Baptista Barreira Vianna (002054VIAN011),Photograph by José Baptista Barreira Vianna (002054VIAN011),+1903-01-01T00:00:00Z/8|P580|+1900-01-01T00:00:00Z/9|P582|+1903-01-01T00:00:00Z/9,,,Q155,@-22.98755/-43.19473|P2044|12.92295U11573|P7787|133.7606U28390|P8208|88.00511U28390,,,,Q63166517,Q56055236,Q71989864,002054VIAN011,Q172984,50.0U28390,170U174789,115U174789,82673
,Q125191,,Residência da família Barreira Vianna,Fotografia de José Baptista Barreira Vianna (002054VIAN015),Photograph by José Baptista Barreira Vianna (002054VIAN015),+1902-01-01T00:00:00Z/8|P580|+1900-01-01T00:00:00Z/9|P582|+1903-01-01T00:00:00Z/9,,,Q155,@-22.98749/-43.19472|P2044|12.55703U11573|P7787|151.76455U28390|P8208|86.87239U28390,,,,Q63166517,Q56055236,Q71989864,002054VIAN015,Q172984,50.0U28390,155U174789,114U174789,82672
,Q125191,,Residência da família Barreira Vianna,Fotografia de José Baptista Barreira Vianna (002054VIAN016),Photograph by José Baptista Barreira Vianna (002054VIAN016),+1903-01-01T00:00:00Z/8|P580|+1900-01-01T00:00:00Z/9|P582|+1903-01-01T00:00:00Z/9,,,Q155,@-22.98727/-43.19477|P2044|12.65887U11573|P7787|95.56363U28390|P8208|88.75904U28390,,,,Q63166517,Q56055236,Q71989864,002054VIAN016,Q172984,40.0U28390,140U174789,97U174789,82675
,Q125191,,Integrantes da família Barreira Vianna no jardim de sua residência,Fotografia de José Baptista Barreira Vianna,Photograph by José Baptista Barreira Vianna,+1903-01-01T00:00:00Z/8|P580|+1900-01-01T00:00:00Z/9|P582|+1903-01-01T00:00:00Z/9,,,Q155,@-22.98728/-43.19477|P2044|10.91001U11573|P7787|56.99155U28390|P8208|89.13692U28390,,,,Q63166517,Q56055236,Q71989864,002054VIAN018,Q172984,50.0U28390,171U174789,115U174789,82674
,Q125191,Q35158,Vista para o Pão de Açúcar,Fotografia de Guilherme Santos (002080BR0215),Photograph by Guilherme Santos (002080BR0215),+1925-01-01T00:00:00Z/8|P580|+1920-01-01T00:00:00Z/9|P582|+1930-01-01T00:00:00Z/9,,,Q155,@-22.95147/-43.14681|P2044|15.49582U11573|P7787|-69.76411U28390|P8208|97.08323U28390,,,,Q55088608,Q97570383,Q71989864,002080BR0215,Q172984,45.0U28390,110U174789,45U174789,82887
,Q125191,Q35158,Estrada da Vista Chinesa,Fotografia de Guilherme Santos,Photograph by Guilherme Santos,+1925-01-01T00:00:00Z/8|P580|+1920-01-01T00:00:00Z/9|P582|+1930-01-01T00:00:00Z/9,,,Q155,@-22.96876/-43.2629|P2044|442.60186U11573|P7787|-143.61476U28390|P8208|92.14516U28390,,,,Q55088608,Q97570383,Q71989864,002080BR0214,Q172984,45.0U28390,110U174789,45U174789,82888
,Q125191,Q35158,"Enseada da Glória; ao fundo, o morro do Pão de Açúcar",Fotografia de Guilherme Santos,Photograph by Guilherme Santos,+1925-01-01T00:00:00Z/8|P580|+1920-01-01T00:00:00Z/9|P582|+1930-01-01T00:00:00Z/9,,,Q155,@-22.91169/-43.1765|P2044|60.77242U11573|P7787|164.70585U28390|P8208|82.50853U28390,,,,Q55088608,Q97570383,Q71989864,002080BR0213,Q172984,45.04U28390,110U174789,45U174789,82886
,Q125191,Q35158,Automóvel na avenida Rio Branco,Fotografia de Guilherme Santos,Photograph by Guilherme Santos,+1925-01-01T00:00:00Z/8|P580|+1920-01-01T00:00:00Z/9|P582|+1930-01-01T00:00:00Z/9,,,Q155,@-22.90517/-43.17758|P2044|8.63473U11573|P7787|-133.73677U28390|P8208|90.02U28390,,,,Q55088608,Q97570383,Q71989864,002080BR0212,Q172984,45.0U28390,110U174789,45U174789,82884
,Q125191,Q35158,"Automóvel na avenida Beira-Mar; ao fundo, o morro do Pão de Açúcar",Fotografia de Guilherme Santos,Photograph by Guilherme Santos,+1925-01-01T00:00:00Z/8|P580|+1920-01-01T00:00:00Z/9|P582|+1930-01-01T00:00:00Z/9,,,Q155,@-22.93778/-43.17393|P2044|7.84677U11573|P7787|114.82009U28390|P8208|95.45501U28390,,,,Q55088608,Q97570383,Q71989864,002080BR0211,Q172984,45.0U28390,110U174789,45U174789,82885
,Q125191,Q35158,"Praia de Santa Luzia; ao fundo, o Palácio Monroe",Fotografia de Guilherme Santos,Photograph by Guilherme Santos,+1915-01-01T00:00:00Z/8|P580|+1910-01-01T00:00:00Z/9|P582|+1920-01-01T00:00:00Z/9,,,Q155,@-22.91607/-43.17579|P2044|4.60466U11573|P7787|23.1602U28390|P8208|91.56268U28390,,,,Q55088608,Q97570383,Q71989864,002080BR0203,Q172984,45.0U28390,110U174789,45U174789,82883
,Q125191,Q35158,Busto na avenida Rainha Elizabeth,Fotografia de Guilherme Santos,Photograph by Guilherme Santos,+1925-01-01T00:00:00Z/8|P580|+1920-01-01T00:00:00Z/9|P582|+1930-01-01T00:00:00Z/9,,,Q155,@-22.98542/-43.19244|P2044|12.09807U11573|P7787|-93.01556U28390|P8208|92.31338U28390,,,,Q55088608,Q97570383,Q71989864,002080RJ0101,Q172984,45.0U28390,110U174789,45U174789,82926
,Q125191,Q35158,Praia de Copacabana,Fotografia de Guilherme Santos,Photograph by Guilherme Santos,+1930-01-01T00:00:00Z/8|P580|+1930-01-01T00:00:00Z/9|P582|+1939-01-01T00:00:00Z/9,,,Q155,@-22.97364/-43.18592|P2044|8.44482U11573|P7787|41.00775U28390|P8208|86.97961U28390,,,,Q55088608,Q97570383,Q71989864,002080BR0202,Q172984,45.0U28390,110U174789,45U174789,82771
,Q125191,,"Bonde descarregando material de construção na praia de Ipanema; ao fundo, o Morro Dois Irmãos e Pedra da Gávea",Fotografia de José Baptista Barreira Vianna,Photograph by José Baptista Barreira Vianna,+1900-01-01T00:00:00Z/8|P580|+1900-01-01T00:00:00Z/9|P582|+1903-01-01T00:00:00Z/9,,,Q155,@-22.98773/-43.19437|P2044|11.47682U11573|P7787|-104.94422U28390|P8208|90.23062U28390,,,,Q63166517,Q56055236,Q71989864,002054VIAN039,Q172984,42.62U28390,85U174789,155U174789,82682
,Q125191,,Residência da família Barreira Vianna,Fotografia de José Baptista Barreira Vianna (002054VIAN030),Photograph by José Baptista Barreira Vianna (002054VIAN030),+1900-01-01T00:00:00Z/8|P580|+1900-01-01T00:00:00Z/9|P582|+1903-01-01T00:00:00Z/9,,,Q155,@-22.98677/-43.19538|P2044|13.10055U11573|P7787|61.80545U28390|P8208|84.00497U28390,,,,Q63166517,Q56055236,Q71989864,002054VIAN030,Q172984,35.15U28390,120U174789,115U174789,82679
,Q125191,,"Residência da família Barreira Vianna; ao fundo, o Morro do Pão de Açúcar e a Praia de Copacabana",Fotografia de José Baptista Barreira Vianna,Photograph by José Baptista Barreira Vianna,+1900-01-01T00:00:00Z/8|P580|+1900-01-01T00:00:00Z/9|P582|+1903-01-01T00:00:00Z/9,,,Q155,@-22.98793/-43.19506|P2044|13.25647U11573|P7787|39.52669U28390|P8208|92.79165U28390,,,,Q63166517,Q56055236,Q71989864,002054VIAN028,Q172984,43.69U28390,86U174789,75U174789,82680
,Q125191,,"Residência da família Barreira Vianna; ao fundo, o Morro Dois Irmãos e a Pedra da Gávea",Fotografia de José Baptista Barreira Vianna (002054VIAN024),Photograph by José Baptista Barreira Vianna (002054VIAN024),+1903-01-01T00:00:00Z/8|P580|+1900-01-01T00:00:00Z/9|P582|+1903-01-01T00:00:00Z/9,,,Q155,@-22.98689/-43.19425|P2044|14.24097U11573|P7787|-104.57337U28390|P8208|89.3685U28390,,,,Q63166517,Q56055236,Q71989864,002054VIAN024,Q172984,34.94U28390,119U174789,128U174789,82678
,Q125191,,Residência da família Barreira Vianna; ao fundo o Morro Dois Irmãos e a Pedra da Gávea,Fotografia de José Baptista Barreira Vianna,Photograph by José Baptista Barreira Vianna,+1903-01-01T00:00:00Z/8|P580|+1900-01-01T00:00:00Z/9|P582|+1903-01-01T00:00:00Z/9,,,Q155,@-22.98688/-43.19389|P2044|15.4299U11573|P7787|-83.87595U28390|P8208|91.90031U28390,,,,Q63166517,Q56055236,Q71989864,002054VIAN023,Q172984,47.99U28390,171U174789,124U174789,82677
,Q125191,,"Residência da família Barreira Vianna; ao fundo, o Morro Dois Irmãos e a Pedra da Gávea",Fotografia de José Baptista Barreira Vianna (002054VIAN021),Photograph by José Baptista Barreira Vianna (002054VIAN021),+1900-01-01T00:00:00Z/8|P580|+1900-01-01T00:00:00Z/9|P582|+1903-01-01T00:00:00Z/9,,,Q155,@-22.9873/-43.19289|P2044|11.45567U11573|P7787|-92.05117U28390|P8208|88.04607U28390,,,,Q63166517,Q56055236,Q71989864,002054VIAN021,Q172984,40.0U28390,150U174789,99U174789,82676
,Q125191,,"Grupo de pessoas na praia de Copacabana, no atual posto 6; ao fundo, o Morro do Pão de Açúcar",Fotografia de José Baptista Barreira Vianna,Photograph by José Baptista Barreira Vianna,+1900-01-01T00:00:00Z/8|P580|+1900-01-01T00:00:00Z/9|P582|+1903-01-01T00:00:00Z/9,,,Q155,@-22.98605/-43.18831|P2044|8.62988U11573|P7787|49.98312U28390|P8208|91.12327U28390,,,,Q63166517,Q56055236,Q71989864,002054VIAN041,Q172984,43.42U28390,85U174789,75U174789,82681
,Q125191,Q35158,"Fonte Adriano Ramos Pinto - Fonte da Juventude; ao fundo, Igreja de Nossa Senhora da Glória do Outeiro",Fotografia de Guilherme Santos,Photograph by Guilherme Santos,+1917-01-01T00:00:00Z/8|P580|+1912-01-01T00:00:00Z/9|P582|+1922-01-01T00:00:00Z/9,,,Q155,@-22.92052/-43.17647|P2044|8.41689U11573|P7787|134.21726U28390|P8208|94.24965U28390,,,,Q55088608,Q97570383,Q71989864,002080RJ1913,Q172984,43.0U28390,110U174789,45U174789,88808
,Q125191,Q35158,"Vista da Lapa e do Centro a partir de Santa Teresa; ao fundo, destaque para o Palácio Monroe, Biblioteca Nacional e Morro do Castelo",Fotografia de Guilherme Santos,Photograph by Guilherme Santos,+1920-01-01T00:00:00Z/8|P580|+1915-01-01T00:00:00Z/9|P582|+1925-01-01T00:00:00Z/9,,,Q155,@-22.91847/-43.17801|P2044|61.11119U11573|P7787|15.94616U28390|P8208|87.67924U28390,,,,Q55088608,Q97570383,Q71989864,002080RJ1914,Q172984,45.0U28390,110U174789,45U174789,88810
,Q125191,Q35158,"Mercado Municipal da Praça XV de Novembro; ao fundo, a Ilha Fiscal",Fotografia de Guilherme Santos,Photograph by Guilherme Santos,+1917-01-01T00:00:00Z/8|P580|+1912-01-01T00:00:00Z/9|P582|+1922-01-01T00:00:00Z/9,,,Q155,@-22.90603/-43.17202|P2044|46.80166U11573|P7787|39.22432U28390|P8208|90.94194U28390,,,,Q55088608,Q97570383,Q71989864,002080RJ1919,Q172984,45.0U28390,110U174789,45U174789,88811
,Q125191,Q35158,Vista da Avenida Rio Branco; a partir do edifício Assicurazioni,Fotografia de Guilherme Santos,Photograph by Guilherme Santos,+1930-01-01T00:00:00Z/8|P580|+1925-01-01T00:00:00Z/9|P582|+1935-01-01T00:00:00Z/9,,,Q155,@-22.90552/-43.17765|P2044|54.88326U11573|P7787|4.62958U28390|P8208|85.6007U28390,,,,Q55088608,Q97570383,Q71989864,002080RJ4202,Q172984,45.0U28390,110U174789,45U174789,82968
,Q125191,Q35158,Vista do largo de São Francisco de Paula; a partir do edifício Adriática,Fotografia de Guilherme Santos,Photograph by Guilherme Santos,+1940-01-01T00:00:00Z/8|P580|+1935-01-01T00:00:00Z/9|P582|+1945-01-01T00:00:00Z/9,,,Q155,@-22.90363/-43.18076|P2044|44.26406U11573|P7787|-174.70518U28390|P8208|87.58541U28390,,,,Q55088608,Q97570383,Q71989864,002080RJ4203,Q172984,45.0U28390,110U174789,45U174789,82967
,Q125191,Q35158,Pavilhão Mourisco,Fotografia de Guilherme Santos,Photograph by Guilherme Santos,+1915-01-01T00:00:00Z/8|P580|+1910-01-01T00:00:00Z/9|P582|+1920-01-01T00:00:00Z/9,,,Q155,@-22.95022/-43.18192|P2044|9.34793U11573|P7787|92.95241U28390|P8208|90.3824U28390,,,,Q55088608,Q97570383,Q71989864,002080RJ4208,Q172984,45.0U28390,110U174789,45U174789,82969
,Q125191,Q35158,"Tropas na avenida Rio Branco; ao fundo, o Morro do Castelo",Fotografia de Guilherme Santos,Photograph by Guilherme Santos,+1915-01-01T00:00:00Z/8|P580|+1910-01-01T00:00:00Z/9|P582|+1920-01-01T00:00:00Z/9,,,Q155,@-22.90929/-43.17613|P2044|9.64942U11573|P7787|81.50698U28390|P8208|98.40004U28390,,,,Q55088608,Q97570383,Q71989864,002080RJ4210,Q172984,45.0U28390,110U174789,45U174789,82970
,Q125191,Q35158,Monumento a Floriano Peixoto na avenida Rio Branco,Fotografia de Guilherme Santos,Photograph by Guilherme Santos,+1920-01-01T00:00:00Z/8|P580|+1915-01-01T00:00:00Z/9|P582|+1925-01-01T00:00:00Z/9,,,Q155,@-22.90984/-43.17567|P2044|13.53826U11573|P7787|-127.35644U28390|P8208|93.67566U28390,,,,Q55088608,Q97570383,Q71989864,002080RJ4215,Q172984,45.0U28390,110U174789,45U174789,82972
,Q125191,Q35158,Jardim da Cinelândia,Fotografia de Guilherme Santos,Photograph by Guilherme Santos,+1920-01-01T00:00:00Z/8|P580|+1915-01-01T00:00:00Z/9|P582|+1925-01-01T00:00:00Z/9,,,Q155,@-22.9107/-43.1756|P2044|10.60416U11573|P7787|-104.82524U28390|P8208|89.23243U28390,,,,Q55088608,Q97570383,Q71989864,002080RJ4216,Q172984,49.62U28390,110U174789,45U174789,82971
,Q125191,Q35158,Avenida Rio Branco - casamento,Fotografia de Guilherme Santos,Photograph by Guilherme Santos,+1925-01-01T00:00:00Z/8|P580|+1920-01-01T00:00:00Z/9|P582|+1930-01-01T00:00:00Z/9,,,Q155,@-22.90364/-43.17825|P2044|7.9494U11573|P7787|98.93464U28390|P8208|96.08745U28390,,,,Q55088608,Q97570383,Q71989864,002080RJ4219,Q172984,45.0U28390,110U174789,45U174789,82973
,Q125191,Q35158,"Trecho da Avenida Rio Branco, próximo à Praça Floriano, Cinelândia",Fotografia de Guilherme Santos,Photograph by Guilherme Santos,+1925-01-01T00:00:00Z/8|P580|+1920-01-01T00:00:00Z/9|P582|+1930-01-01T00:00:00Z/9,,,Q155,@-22.90111/-43.17913|P2044|7.77728U11573|P7787|162.25986U28390|P8208|92.38041U28390,,,,Q55088608,Q97570383,Q71989864,002080RJ4220,Q172984,45.0U28390,110U174789,45U174789,82974
,Q125191,Q35158,Estátua em homenagem a João Caetano,Fotografia de Guilherme Santos,Photograph by Guilherme Santos,+1915-01-01T00:00:00Z/8|P580|+1910-01-01T00:00:00Z/9|P582|+1920-01-01T00:00:00Z/9,,,Q155,@-22.90691/-43.18225|P2044|9.6467U11573|P7787|12.32647U28390|P8208|93.6899U28390,,,,Q55088608,Q97570383,Q71989864,002080RJ4619,Q172984,45.0U28390,110U174789,45U174789,82975
,Q125191,Q35158,Vista do Centro a partir da Fortaleza da Conceição,Fotografia de Guilherme Santos,Photograph by Guilherme Santos,+1915-01-01T00:00:00Z/8|P580|+1910-01-01T00:00:00Z/9|P582|+1920-01-01T00:00:00Z/9,,,Q155,@-22.89946/-43.18398|P2044|61.89131U11573|P7787|129.3982U28390|P8208|89.01081U28390,,,,Q55088608,Q97570383,Q71989864,002080RJ4701,Q172984,45.0U28390,110U174789,45U174789,88847
,Q125191,Q35158,Rua dos Andradas,Fotografia de Guilherme Santos,Photograph by Guilherme Santos,+1915-01-01T00:00:00Z/8|P580|+1910-01-01T00:00:00Z/9|P582|+1920-01-01T00:00:00Z/9,,,Q155,@-22.90497/-43.18089|P2044|8.99457U11573|P7787|-41.65113U28390|P8208|91.99679U28390,,,,Q55088608,Q97570383,Q71989864,002080RJ4702,Q172984,45.0U28390,110U174789,45U174789,83603
,Q125191,Q35158,Evento militar em frente à Biblioteca Nacional,Fotografia de Guilherme Santos,Photograph by Guilherme Santos,+1910-01-01T00:00:00Z/8|P580|+1905-01-01T00:00:00Z/9|P582|+1915-01-01T00:00:00Z/9,,,Q155,@-22.90941/-43.17645|P2044|9.3541U11573|P7787|125.60177U28390|P8208|96.64639U28390,,,,Q55088608,Q97570383,Q71989864,002080RJ4703,Q172984,45.0U28390,110U174789,45U174789,83598
,Q125191,Q35158,Rua da Carioca,Fotografia de Guilherme Santos,Photograph by Guilherme Santos,+1917-01-01T00:00:00Z/8|P580|+1912-01-01T00:00:00Z/9|P582|+1922-01-01T00:00:00Z/9,,,Q155,@-22.90668/-43.18362|P2044|9.6496U11573|P7787|-178.83964U28390|P8208|94.0647U28390,,,,Q55088608,Q97570383,Q71989864,002080RJ4704,Q172984,45.0U28390,110U174789,45U174789,83599
,Q125191,Q35158,Travessa das Belas Artes,Fotografia de Guilherme Santos,Photograph by Guilherme Santos,+1915-01-01T00:00:00Z/8|P580|+1910-01-01T00:00:00Z/9|P582|+1920-01-01T00:00:00Z/9,,,Q155,@-22.90565/-43.18329|P2044|8.69109U11573|P7787|-28.55438U28390|P8208|94.35346U28390,,,,Q55088608,Q97570383,Q71989864,002080RJ4706,Q172984,45.0U28390,110U174789,45U174789,83602
,Q125191,Q35158,Candelária,Fotografia de Guilherme Santos,Photograph by Guilherme Santos,+1950-01-01T00:00:00Z/8|P580|+1945-01-01T00:00:00Z/9|P582|+1955-01-01T00:00:00Z/9,,,Q155,@-22.9001/-43.17693|P2044|32.36034U11573|P7787|-132.10682U28390|P8208|89.1993U28390,,,,Q55088608,Q97570383,Q71989864,002080RJ4707,Q172984,45.0U28390,110U174789,45U174789,83604
,Q125191,Q35158,Edifícios na avenida Presidente Vargas,Fotografia de Guilherme Santos,Photograph by Guilherme Santos,+1950-01-01T00:00:00Z/8|P580|+1945-01-01T00:00:00Z/9|P582|+1955-01-01T00:00:00Z/9,,,Q155,@-22.90337/-43.18944|P2044|62.03261U11573|P7787|100.15393U28390|P8208|75.86348U28390,,,,Q55088608,Q97570383,Q71989864,002080RJ4708,Q172984,45.0U28390,110U174789,45U174789,83600
,Q125191,Q35158,"Candelária, vista posterior",Fotografia de Guilherme Santos,Photograph by Guilherme Santos,+1950-01-01T00:00:00Z/8|P580|+1945-01-01T00:00:00Z/9|P582|+1955-01-01T00:00:00Z/9,,,Q155,@-22.90162/-43.17908|P2044|7.62043U11573|P7787|57.80804U28390|P8208|94.09086U28390,,,,Q55088608,Q97570383,Q71989864,002080RJ4709,Q172984,43.0U28390,110U174789,45U174789,83601
,Q125191,Q35158,"Morro do Corcovado; tomado da Rua do Aqueduto, atual Almirante Alexandrino",Fotografia de Guilherme Santos,Photograph by Guilherme Santos,+1920-01-01T00:00:00Z/8|P580|+1915-01-01T00:00:00Z/9|P582|+1925-01-01T00:00:00Z/9,,,Q155,@-22.93747/-43.20526|P2044|211.05401U11573|P7787|-174.91297U28390|P8208|89.54559U28390,,,,Q55088608,Q97570383,Q71989864,002080RJ8102,Q172984,45.0U28390,110U174789,45U174789,88825
,Q125191,Q35158,Marinheriros em formação na região do Porto,Fotografia de Guilherme Santos,Photograph by Guilherme Santos,+1925-01-01T00:00:00Z/8|P580|+1920-01-01T00:00:00Z/9|P582|+1930-01-01T00:00:00Z/9,,,Q155,@-22.89542/-43.18138|P2044|13.86699U11573|P7787|-82.67219U28390|P8208|85.47947U28390,,,,Q55088608,Q97570383,Q71989864,002080RJ7402,Q172984,45.0U28390,110U174789,45U174789,88823
,Q125191,Q35158,"Regresso dos reis belgas, chegada da rainha à praça Mauá",Fotografia de Guilherme Santos,Photograph by Guilherme Santos,+1920-10-16T00:00:00Z/11|P580|+1920-01-01T00:00:00Z/9|P582|+1920-01-01T00:00:00Z/9,,,Q155,@-22.8957/-43.18074|P2044|3.66201U11573|P7787|-112.1112U28390|P8208|92.89097U28390,,,,Q55088608,Q97570383,Q71989864,002080RJ6708,Q172984,45.0U28390,110U174789,45U174789,83614
,Q125191,Q35158,"Herbert Clark Hoover, presidente dos Estados Unidos, durante visita à Câmara dos Deputados",Fotografia de Guilherme Santos,Photograph by Guilherme Santos,+1930-01-01T00:00:00Z/8|P580|+1929-01-01T00:00:00Z/9|P582|+1933-01-01T00:00:00Z/9,,,Q155,@-22.90402/-43.17428|P2044|8.50331U11573|P7787|161.10051U28390|P8208|89.78787U28390,,,,Q55088608,Q97570383,Q71989864,002080RJ6611,Q172984,45.0U28390,110U174789,45U174789,88739
,Q125191,Q35158,"A Baroneza, primeira locomotiva brasileira, passando pela Praça Mauá",Fotografia de Guilherme Santos,Photograph by Guilherme Santos,+1934-01-01T00:00:00Z/9|P580|+1934-01-01T00:00:00Z/9|P582|+1934-01-01T00:00:00Z/9,,,Q155,@-22.89658/-43.18183|P2044|12.46836U11573|P7787|134.76528U28390|P8208|86.57295U28390,,,,Q55088608,Q97570383,Q71989864,002080RJ6603,Q172984,45.0U28390,110U174789,45U174789,88738
